id,title,price,sold_quantity,available_quantity,category_id,permalink
MCO2560906888,Proyector Mini Magcubic Ultra Hd Projector Multimedia 8000lm Gris Oscuro 110v,229499.0,0,250,MCO1000,https://www.mercadolibre.com.co/proyector-mini-magcubic-ultra-hd-projector-multimedia-8000lm-gris-oscuro-110v/p/MCO43931861
MCO2134532702,Micrófono Profesional Grabación Estudio Con Soporte De Mesa Color Dorado,79900.0,0,1,MCO1000,https://www.mercadolibre.com.co/microfono-profesional-grabacion-estudio-con-soporte-de-mesa-color-dorado/p/MCO26912849
MCO1422540013,Mini Televisor Digital Portátil De Alta Definición Atsc 7 16,304433.52,0,150,MCO1000,https://www.mercadolibre.com.co/1080p-portable-tv-atsc-7-169-digital-television-tft-led/p/MCO2001324629
MCO1488273389,Parlante Cabina Bluetooth De 6.5 Pulgadas 5400w P.m.p.o Nia Color Negro 3.7,126000.0,0,1,MCO1000,https://www.mercadolibre.com.co/parlante-cabina-bluetooth-de-65-pulgadas-5400w-pmpo-nia-color-negro-37/p/MCO28460339
MCO2772218636,Televisor 50 Pulgadas Google Tv Challenger,1559900.0,0,1,MCO1000,https://www.mercadolibre.com.co/televisor-50-pulgadas-google-tv-challenger/p/MCO37918852
MCO2809619912,Proyector Mini Lrniubi Hy300 Proyector Actualizado X3 8000lm Blanco 110v,231909.0,0,250,MCO1000,https://www.mercadolibre.com.co/proyector-mini-lrniubi-hy300-proyector-actualizado-x3-8000lm-blanco-110v/p/MCO43933729
MCO1457725167,Audífonos Inalambricos Bluetooth F9-5 Tsw Powerbank Batería Color Negro,14600.0,0,50,MCO1000,https://www.mercadolibre.com.co/audifonos-inalambricos-bluetooth-f9-5-tsw-powerbank-bateria-color-negro/p/MCO29606583
MCO2425798000,Televisor Smart 55 Neo Qled 4k Qn85d,4199900.0,0,1,MCO1000,https://www.mercadolibre.com.co/televisor-smart-55-neo-qled-4k-qn85d/p/MCO37348873
MCO1536375893,Amazon Echo Show 8 3ra Generación Asistente Virtual Alexa Color Negro,567900.0,0,1,MCO1000,https://www.mercadolibre.com.co/amazon-echo-show-8-3ra-generacion-asistente-virtual-alexa-color-negro/p/MCO29361356
MCO1351405829,Parlante 1hora Boc241 Portátil Con Bluetooth Negra 110v,84090.0,0,1,MCO1000,https://www.mercadolibre.com.co/parlante-1hora-boc241-portatil-con-bluetooth-negra-110v/p/MCO44718280
